street_name_address,lot_address,latitude,longitude
경기도 수원시 팔달구 세지로 198번길 18-2,경기도 수원시 팔달구 인계동 985-17,37.2684039,127.0236149
,경기도 수원시 장안구 송죽동 50-6,37.3100421,127.0045063
경기도 수원시 장안구 일월로82번길 23,경기도 수원시 장안구 천천동 325-35,37.2902079,126.9778688
경기도 수원시 장안구 장안로314번길 26,경기도 수원시 장안구 파장동 562-7,37.3099512,126.9896389
,경기도 수원시 영통구 하동 1037,37.2928509,127.0676048
경기도 수원시 팔달구 창룡대로 61-28,경기도 수원시 팔달구 매향동 122-61,37.2845957,127.0211386
경기도 수원시 팔달구 팔달문로175번길 29,경기도 수원시 팔달구 우만동 521-13,37.2844849,127.0340839
경기도 수원시 권선구 매송고색로711번길 33,경기도 수원시 권선구 고색동 888-142,37.2524374,126.9810374
경기도 수원시 권선구 수인로296번길 48,경기도 수원시 권선구 구운동 897-14,37.2848184,126.9721421
경기도 수원시 권선구 일월천로4번길 54,경기도 수원시 권선구 구운동 918-10,37.2823774,126.9751426
,경기도 수원시 팔달구 고등동 50-2,37.2750102,127.00481
경기도 수원시 팔달구 고화로13번길 17,경기도 수원시 팔달구 매산로2가 2-2,37.2701806,127.0069181
경기도 수원시 팔달구 효원로60번길 30,경기도 수원시 팔달구 매산로3가 94-1,37.2676577,127.007617
경기도 수원시 권선구 세지로125번길 26-2,경기도 수원시 권선구 세류동 817-115,37.2632958,127.0184504
경기도 수원시 권선구 동수원로146번길 226-17,경기도 수원시 권선구 곡반정동 542-1,37.241047,127.0313612
경기도 수원시 권선구 동수원로82번길 7-17,경기도 수원시 권선구 곡반정동 565-4,37.2386059,127.0280358
경기도 수원시 권선구 동수원로46번길 7-10,경기도 수원시 권선구 곡반정동 585-14,37.2355159,127.025533
경기도 수원시 권선구 세권로165번길 24,경기도 수원시 권선구 권선동 1055-13,37.2569879,127.023082
경기도 수원시 권선구 권중로12번길 11,경기도 수원시 권선구 권선동 1161,37.2562922,127.0322236
경기도 수원시 권선구 경수대로 313,경기도 수원시 권선구 세류동 1079-1,37.2548258,127.0207256
경기도 수원시 영통구 매탄로65번길 17,경기도 수원시 영통구 매탄동 1166-2,37.2568215,127.0404978
경기도 수원시 영통구 매영로310번길 46,경기도 수원시 영통구 영통동 964-4,37.2523779,127.0653609
경기도 수원시 영통구 월드컵로193번길 83,경기도 수원시 영통구 원천동 28-18,37.2753181,127.0449493
경기도 수원시 장안구 경수대로973번길 24,경기도 수원시 장안구 송죽동 453-31,37.3034015,127.0038068
경기도 수원시 장안구 영화로13번길 14,경기도 수원시 장안구 영화동 428-14,37.28819701,127.0091971
경기도 수원시 장안구 덕영대로381번길 78,경기도 수원시 장안구 율전동 167-16,37.3022069,126.967646
경기도 수원시 장안구 덕영대로439번길 23,경기도 수원시 장안구 율전동 211,37.3017574,126.9710637
경기도 수원시 장안구 영화로85번길 12-4,경기도 수원시 장안구 정자동 51-50,37.2938146,127.0052503
경기도 수원시 장안구 장안로287번길 19-2,경기도 수원시 장안구 정자동 533-18,37.3063741,126.9893913
경기도 수원시 팔달구 창룡대로150번길 60,경기도 수원시 팔달구 우만동 476,37.2887932,127.0283118
,경기도 수원시 팔달구 지동 228-1,37.2850455,127.0253674
,경기도 수원시 팔달구 지동 292-2,37.2797663,127.0210585
경기도 수원시 장안구 정조로981번길 13,경기도 수원시 장안구 정자동 6-1,37.2940397,127.0092314
경기도 수원시 권선구 당수로119번길 65-3,경기도 수원시 권선구 당수동 454,37.2828219,126.9372092
경기도 수원시 권선구 구운로4번길 34,경기도 수원시 권선구 구운동 464,37.2809272,126.9772292
경기도 수원시 권선구 세화로151번길 75,경기도 수원시 권선구 서둔동 30-10,37.2637378,126.991157
경기도 수원시 권선구 덕영대로963번길 32,경기도 수원시 권선구 세류동 248-1,37.2627112,127.0046744
경기도 수원시 권선구 세지로125번길 6-1,경기도 수원시 권선구 세류동 817-14,37.2629623,127.0194198
경기도 수원시 권선구 삼천병마로1598번길 28-27,경기도 수원시 권선구 오목천동 314-27,37.2459643,126.9660379
경기도 수원시 권선구 노림로 10-3,경기도 수원시 권선구 호매실동 405-3,37.2668461,126.9545961
경기도 수원시 팔달구 매산로96번길 17,경기도 수원시 팔달구 교동 187,37.2697929,127.0120366
경기도 수원시 팔달구 고화로 83,경기도 수원시 팔달구 고등동 10-4,37.2767401,127.0062307
경기도 수원시 팔달구 정조로 898,경기도 수원시 팔달구 북수동 136-1,37.2879574,127.0149145
경기도 수원시 장안구 경수대로 792,경기도 수원시 장안구 영화동 107-8,37.2927323,127.0188624
,경기도 수원시 팔달구 인계동 267-6,37.2717912,127.026536
,경기도 수원시 장안구 율전동 176-10,37.301368,126.9644544
,경기도 수원시 권선구 탑동 521,37.26432,126.9721166
경기도 수원시 권선구 오목천로 31,경기도 수원시 권선구 오목천동 431-1,37.2402426,126.9657589
경기도 수원시 권선구 율전로 9,경기도 수원시 권선구 입북동 243-11,37.2951495,126.9603749
경기도 수원시 권선구 덕영대로1323번길 26-14,경기도 수원시 권선구 권선동 1312-3,37.2474613,127.0351394
경기도 수원시 영통구 영통로 151,경기도 수원시 영통구 망포동 399-4,37.2408226,127.0551633
,경기도 수원시 영통구 망포동 372,37.2396877,127.0542835
경기도 수원시 영통구 효원로358번길 16,,37.258822,127.0398111
,경기도 수원시 영통구 매탄동 1248,37.2621268,127.0457199
경기도 수원시 영통구 매탄로126번길 27,,37.2621268,127.0457199
경기도 수원시 영통구 매탄로 139,,37.2638216,127.0430828
경기도 수원시 영통구 매탄로 151,,37.2641547,127.0439736
경기도 수원시 영통구 청명북로 42,,37.254459,127.0809969
경기도 수원시 영통구 청명로 65,경기도 수원시 영통구 영통동 1045-7,37.2530453,127.0796653
경기도 수원시 영통구 영통로 451,,37.2602386,127.0747238
