business_name,business_status,street_name_address,lot_address,latitude,longitude
이마트24 알(R)수원컨벤션센터점,영업,"경기도 수원시 영통구 광교중앙로 140, 수원컨벤션센터 근생시설동 1층 100호 (하동)",경기도 수원시 영통구 하동 855-2번지 수원컨벤션센터 근생시설동 100호,37.2853493,127.0598626
GS25인계예술점,영업,"경기도 수원시 팔달구 효원로 303, 삼호파크타워 1층 105호 (인계동)",경기도 수원시 팔달구 인계동 1122-10번지 삼호파크타워 ,37.2612381,127.0350889
GS25정자벽산점,영업,경기도 수원시 장안구 정자천로188번길 49 (정자동),경기도 수원시 장안구 정자동 29-3번지,37.2944002,126.9975926
씨유지동프리미엄점,영업,"경기도 수원시 팔달구 세지로306번길 2, 1층 (지동)",경기도 수원시 팔달구 지동 123-41번지 1층 ,37.2781529,127.0239221
씨유 영통구청점,영업,"경기도 수원시 영통구 매탄로108번길 48, 삼성프라자Ⅱ 1층 104호 (매탄동)","경기도 수원시 영통구 매탄동 1266-2번지 삼성프라자Ⅱ, 1층 104호",37.25964413,127.0453401
씨유수원우만은혜점,영업,"경기도 수원시 팔달구 권광로367번길 11, 상가동 1층 (우만동, 양우 내안애 애플 아파트)","경기도 수원시 팔달구 우만동 607번지 양우 내안애 애플 아파트, 1층 상가동 ",37.2791771,127.036833
씨유탑동우방점,영업,"경기도 수원시 권선구 하탑로 21 (탑동,1층)",경기도 수원시 권선구 탑동 835-1번지 1층,37.2687626,126.9739525
세븐일레븐 수원조원벽산점,영업,경기도 수원시 장안구 조원로50번길 22 (조원동),경기도 수원시 장안구 조원동 519-38번지,37.2983455,127.0201381
씨유인계태산점,영업,"경기도 수원시 팔달구 효원로265번길 54, 1층 103,104호 (인계동)","경기도 수원시 팔달구 인계동 1113-5번지 1층, 103,104호 ",37.2643745,127.0318886
나이스 PC방,영업,경기도 수원시 영통구 삼성로168번길 100 (매탄동),경기도 수원시 영통구 매탄동 383-11번지 ,37.2612918,127.0599121
세븐일레븐 수원수일로점,영업,"경기도 수원시 장안구 경수대로 1092, 1층 (파장동)",경기도 수원시 장안구 파장동 212-23번지 1층 ,37.31000569,126.9932599
지에스25원천타운점,영업,"경기도 수원시 영통구 매영로199번길 35, 1층 (원천동)",경기도 수원시 영통구 원천동 337-14번지 ,37.2642629,127.0645026
지에스25 영통매여울점,영업,"경기도 수원시 영통구 매여울로40번길 20-1, 1층 (매탄동)",경기도 수원시 영통구 매탄동 196-32번지 ,37.2719568,127.0463342
